id,title,slug,description,organizer,start_date,end_date,url
E17,TALKSHOW KESEHATAN MENTAL MAHASISWA,talkshow-kesehatan-mental-mahasiswa-its,Talkshow inspiratif tentang pentingnya menjaga kesehatan mental di tengah tekanan akademik dan persaingan yang ketat. Akan membahas cara mengelola tekanan akademik dengan sehat dan strategi agar bisa berkembang tanpa terbebani.,DWP ITS,2025-11-19 04:00:00,2025-11-19 06:00:00,https://bit.ly/stress2success-dwpits2025
E18,"#FounderLeadership: Building, Leading, and Scaling Your Team",founderleadership-building-leading-scaling-your-team,"Workshop to help build and lead a solid, adaptive, and resilient startup team. Topics include building the dream team, leading with empathy and purpose, managing team dynamics and conflict, and scaling and sustaining the team.",FounderHub ID,2025-11-18 10:45:00,2025-11-18 13:40:00,tekan.id/WorkshopFounderLeadership
E19,Energy Conversion PVsyst Training 2025,energy-conversion-pvsyst-training-2025,"Energy Conversion PVsyst Training 2025, an exclusive opportunity to gain practical experience using PVsyst, the industry standard software for photovoltaic system simulation and optimization!",Energy Conversion,2025-12-13 00:00:00,2025-12-14 00:00:00,https://its.id/m/PVsystTraining2025
E20,OPEN OPPORTUNITIES FOR PKM 2026,pkm-2026-sistem-informasi-its,"Opportunity for Sistem Informasi ITS students (2022, 2023, 2024, or 2025) to participate in PKM 2026 with Lab. Sistem Enterprise.",Lab. Sistem Enterprise,2025-11-24 00:00:00,2025-11-30 23:59:59,https://forms.gle/oXpUvvCmkzqZkZQj7
E21,OPEN RECRUITMENT BAYUCARAKA 2025/2026,open-recruitment-bayucaraka-2025-2026,"Open recruitment for Bayucaraka ITS, inviting new members to explore innovation, knowledge, and hands-on aeromodelling experiences.",Bayucaraka ITS,2024-07-25 17:00:00,2024-07-26 16:59:59,https://its.id/m/oprec-batch-2
E22,LKO-PKM Project 2026,lko-pkm-project-2026,"LKO-PKM Project 2026 hosted by the Control and Automation Laboratory. Refine your ideas, collaborate, and turn them into impactful PKM projects.",Control and Automation Laboratory,2025-11-24 00:00:00,2025-12-03 00:00:00,https://its.id/m/LKOPKMPROJECT2026
E23,Connecting The Fuel 2025,connecting-the-fuel-2025,Discover how todayâ€™s subsurface innovations and energy technologies shape the journey from reservoir to reliable future energy supply.,Pertamina Hulu Mahakam,2025-11-28 10:30:00,2025-11-28 13:15:00,https://speitssc.org/in/RSVPConnectingtheFuel25
E24,Seminar Proposal Lab. SE,seminar-proposal-lab-se,,Lab. SE,2025-11-26 11:00:00,2025-11-26 11:30:00,https://tekan.id/SemproFelicia
E25,Open Recruitment PVP 180 DC ITS 26/27,open-recruitment-pvp-180-dc-its-26-27,Open recruitment for President and Vice President positions at 180 DC ITS for the 26/27 term.,180 DC ITS,2025-11-25 00:00:00,2025-12-12 23:59:59,https://intip.in/PVPRecruitment
E26,LSA x FS2 Edition,lsa-x-fs2-edition,"Explore global pathways with LSA x FS2. Meet international partners, hear from ITS students who've studied abroad, and gain insights into postgraduate studies at the University of Glasgow and the Double Degree Program at National Sun Yat-sen University (NSYSU). Perks include a FREE IELTS Simulation Voucher and Stamp4It!.",ITS International Office,2025-11-28 06:00:00,2025-11-28 09:00:00,its.id/m/RSVP-LSAXFS2-Nov2025
E27,PO Merchandise Lab SE 2025,po-merchandise-lab-se-2025,"Open Pre-Order Merchandise Lab Sistem Enterprise 2025. Tersedia T-Shirt, Tumbler Mug, Enamel Pin, Sticker Pack.",Lab Sistem Enterprise,2025-11-28 00:00:00,2025-12-04 23:59:59,http://bit.ly/PO-MerchSE
E28,PETA Scholar Associate Recruitment 2025/2026,peta-scholar-associate-recruitment-2025-2026,PETA Scholar Associate Recruitment 2025/2026 is officially OPEN!,PETA Scholar,2025-12-01 00:00:00,2025-12-15 23:59:59,https://bit.ly/RecruitmentPetaScholarBatch7
E29,WEBINAR - Schoters x English Club Universitas Widyatama,webinar-schoters-english-club-universitas-widyatama,"Webinar tentang cara menulis essay yang baik untuk aplikasi beasiswa, bersama Schoters dan English Club Universitas Widyatama.",Schoters x English Club Universitas Widyatama,2025-12-06 09:00:00,2025-12-06 12:00:00,https://form.jotform.com/240911301155443
E30,DATA SCIENCE COMPETITION ARA 7.0,data-science-competition-ara-7,Kompetisi Data Science untuk siswa/i SMA/SMK/MA dan mahasiswa/i aktif dari PTN/PTS di seluruh Indonesia untuk menyelesaikan studi kasus nyata menggunakan analisis data.,ARA,2025-12-01 00:00:00,2026-01-25 23:59:59,http://its.id/m/GuidebookDataScienceARA7
E31,CAPTURE THE FLAG (CTF) ARA 7.0,ctf-ara-7-0,Capture The Flag (CTF) ARA 7.0 is a competition in the field of network and information security organized by Himpunan Mahasiswa Teknologi Informasi (HMIT) Institut Teknologi Sepuluh Nopember (ITS). This competition is open to students and high school students throughout Indonesia.,Himpunan Mahasiswa Teknologi Informasi (HMIT) Institut Teknologi Sepuluh Nopember (ITS),2025-12-01 00:00:00,2026-01-25 23:59:59,its.id/m/GuideBookCTFARA7
E32,Aither Business Development Intern Recruitment,aither-business-development-intern-recruitment,"Aither is recruiting a Business Development Intern. The requirements are age 18-23, domiciled in Surabaya, enthusiastic, communicative, and able to work in a team. Benefits include expanding network & marketing experience, a certificate from Startup Aither, communication skill upgrades, economic benefits based on performance, and incentives. The registration deadline is December 3, 2025.",Aither,2024-11-18 00:00:00,2025-12-03 23:59:59,
E33,EXPLORE SAP THROUGH SAP LEARNING HUB FOR STUDENT,explore-sap-through-sap-learning-hub-for-student,"Kesempatan untuk mengakses SAP Learning Hub yang berisi modul pembelajaran resmi dari SAP melalui self-paced learning, weekly Zoom, group belajar, dan eksplorasi fitur.",SAP,2025-12-01 00:00:00,2025-12-07 23:59:00,http://intip.in/PendaftaranEksplorasiSAP
E34,Algoritma Struktur Data Tutorial,tutorial-algoritma-struktur-data-2025,Tutorial Algoritma Struktur Data untuk mempersiapkan mahasiswa DSI menghadapi EAS,SWF,2025-12-06 09:00:00,2025-12-06 10:30:00,https://its.id/m/RegisEASTutor25
E35,Pendataan Mahasiswa Terdampak Bencana Nasional,pendataan-mahasiswa-terdampak-bencana-nasional,"Pendataan mahasiswa ITS yang terdampak bencana banjir dan tanah longsor di Sumatera Utara, Sumatera Barat, dan Aceh.",ITS,2024-01-01 00:00:00,2024-12-31 23:59:59,https://its.id/PendataanMahasiswaITSterdampak
E36,BEASISWA IDCamp 2025,idcamp-2025-scholarship,"Program beasiswa dari Indosat Ooredoo Hutchison ini berfokus pada Artificial Intelligence dengan total 8 alur belajar, termasuk AI Engineer dan Generative AI Engineer. Kurikulum dikembangkan oleh Dicoding dan berbasis use case industri. Fasilitas peserta meliputi belajar dasar tanpa seleksi, akses kelas lanjutan (menengah dan mahir) bagi yang lolos seleksi, sertifikasi global (DCA & DCML), akses kelas bonus Cyber Security dari Cisco dan Automation dari UIPath, pendampingan mentor, serta kesempatan akses pekerjaan untuk lulusan terbaik. Program ini ditujukan bagi WNI yang berminat meningkatkan skill teknologi dan memiliki laptop atau komputer.",Indosat Ooredoo Hutchison,2025-01-01 00:00:00,2025-12-31 00:00:00,https://idcamp.indosatooredoo.com
E37,INNOVERA 2026 â€” National UI/UX Design Competition,innovera-2026-national-ui-ux-design-competition,"National UI/UX Design Competition with the theme â€œSmart Design for The New Eraâ€. Showcase your design skills for a chance to win a Prizepool of over 80 million IDR. Participants can join in teams of 1-3 people. Permitted tools include Figma, Adobe XD, or other relevant UI software. Prizes include coaching money, Universitas Widyatama scholarship, and certificates for the competition and seminar. A special UI/UX seminar will be held with Sandi Pratama (UI/UX & Product Designer).",Universitas Widyatama,2025-12-01 00:00:00,2026-02-09 00:00:00,
E38,BEASISWA CIPTA PELITA INDONESIA #3 BY @TALENTME.ID,beasiswa-cipta-pelita-indonesia-3-by-talentme-id,"Beasiswa Cipta Pelita Indonesia #3 by Talentme.id offers total scholarships worth Rp12,000,000, official e-certificates, access to online self-development classes, networking, and exclusive mentoring. It is open to Indonesian citizens, active students from SMA/SMK/MA to D1/D2/D3/D4/S1/S2 (all majors), and gap year individuals. Various selection paths include Academic, Arts & Talent, Inspirational, and Digital Creator.",TALENTME.ID,2023-11-01 00:00:00,2026-01-31 00:00:00,talentme.id/DAFTARCIPTAPELITA3
E39,Coding Camp 2026 powered by DBS Foundation,coding-camp-2026-dbs-foundation,"Program pelatihan teknologi informasi yang dirancang untuk mempersiapkan siswa SMK dan mahasiswa memasuki dunia kerja lewat kurikulum berstandar global. Pelatihan dilakukan 100% gratis secara online dan mencakup hard skills seperti AI Engineer, Data Scientist, Full-Stack Web Developer, serta soft skills. Peserta akan mendapatkan sertifikat kompetensi, kesempatan konversi hingga 20 SKS, bimbingan mentor, dan proyek akhir berkelompok.",Dicoding and DBS Foundation,2025-12-31 17:00:00,2026-05-31 16:59:59,
E40,Program Beasiswa Pijak x IBM SkillsBuild,program-beasiswa-pijak-x-ibm-skillsbuild,"Beasiswa ini menyediakan pelatihan gratis di bidang Artificial Intelligence untuk 30.000 talenta IT di Indonesia, termasuk materi dasar dan mendalam, serta benefit seperti sertifikat dan peluang kerja.",Dicoding & IBM SkillsBuild,2025-09-18 00:00:00,2025-12-31 00:00:00,https://www.dicoding.com/pijak
E41,Indonesia Accounting Fair 27th Business & Accounting Competition,indonesia-accounting-fair-27th-business-accounting-competition,"Join the 27th Indonesia Accounting Fair's Business Case Competition (BCC) and Accounting Competition (ACC). Register during the normal registration period to compete for prizes up to USD 1,078. Events include preliminary and main rounds with registration links provided.",Indonesia Accounting Fair FEB UI,2025-11-04 00:00:00,2026-02-21 00:00:00,https://iaf-febui.com
E42,ORMAWA Awards ITS 2025,ormawa-awards-its-2025,"A ceremony organized by DITMAWA in collaboration with Lembaga Minat Bakat ITS to honor student organizations for their contributions, featuring awards, live performances, booths, and innovations. Free and open to the public.",DITMAWA ITS and Lembaga Minat Bakat ITS,2025-12-12 06:00:00,2025-12-12 14:00:00,https://instagram.com/ormawaawardsits
E43,Smart Flow Work Management: Mengurangi Beban Kerja dengan Teknologi AI,smart-flow-work-management-mengurangi-beban-kerja-dengan-teknologi-ai,"A free webinar on how AI technology can help reduce workload and improve work efficiency, featuring Ryan Sucipto, COO at Canting Creative Agency.",,2025-12-20 03:00:00,2025-12-20 05:00:00,bit.ly/mounev292
E44,ICMA 2026 Scholarship Programme,icma-2026-scholarship-programme,"Full scholarship for individuals aged 19â€“30 from Africa, Asia Pacific, and Latin America. 12-month online course covering all expenses, with four diploma options: Debt Capital Markets, Securities & Derivatives, Financial Market Operations, Sustainable Finance. Requirements include adequate education, interest in financial markets, and proficiency in English. Application materials include application form, 500-word essay, CV, academic documents, and 2 recommendation letters. Deadline: 16 January 2026.",ICMA,2026-01-15 00:00:00,2026-01-16 00:00:00,https://www.icmagroup.org/executive-education/2026-scholarship-programme
E45,Chinaâ€“AUN Scholarship 2026/2027,china-aun-scholarship-2026-2027,"Full scholarship for ASEAN citizens (including Indonesia) to pursue Master's (max 3 years) or PhD (max 4 years) in China. Covers tuition, accommodation, living allowance, and health insurance. Open to Mandarin or English programs. Application deadline: 16 February 2026.",AUN (ASEAN University Network),2026-02-15 17:00:00,2026-02-16 16:59:59,https://www.aunsec.org/aun-action/scholarships/china-aun-scholarship
E46,Pelatihan AI Gratis Maju Bareng AI bersama Hacktiv8 x AVPN,pelatihan-ai-gratis-maju-bareng-ai-bersama-hacktiv8-x-avpn,"Pelatihan AI Opportunity Fund: Asia Pacific memberikan akses pelatihan dan sertifikasi AI tanpa biaya untuk profesional IT, pelaku UMKM, dan mahasiswa/siswa SMA/K. Materi mencakup 15 jam pelatihan Generative AI dan studi kasus nyata sesuai sektor. Program didukung oleh AVPN, Google.org, dan Asian Development Bank.","Hacktiv8, AVPN, Google.org, Asian Development Bank",2025-05-31 17:00:00,2026-12-31 16:59:59,https://www.hacktiv8.com/projects/avpn-asia
E47,INFENTRA CTF COMPETITION 2025,infentra-ctf-competition-2025,"A cybersecurity Capture The Flag competition featuring cryptography, web exploitation, forensics, pwn, reverse engineering, AI, and miscellaneous challenges. The event includes multiple rounds from November to December 2025, with online participation and registration details provided.",INFENTRA,2025-11-15 17:00:00,2025-12-20 16:59:59,http://infentra2025.com
E48,TDC TALK 2.0,tdc-talk-2-0,"A talk event featuring Syarif Satriyo discussing his journey in aquaculture and entrepreneurship, focusing on innovative seaweed farming and success strategies for Gen Z.",TDC ITS,2025-12-05 03:00:00,2025-12-05 04:00:00,https://www.instagram.com/tdc_its
E49,Webinar Nasional Gebyar Festival Ekonomi Syariah 2025,webinar-nasional-gebyar-festival-ekonomi-syariah-2025,"A webinar focusing on strategies for young entrepreneurs to build consumer trust and sustainability in the halal industry, featuring expert speakers and free participation.",GFES KSEI SEDiC SUPEL,2025-12-13 02:00:00,2025-12-13 16:59:59,https://bit.ly/WebinarGFESEDiC2K25
E50,IECOM 2026 - Industrial Engineering Competition Event,iecom-2026-industrial-engineering-competition-event,"IECOM 2026 is an international competition event of Industrial Engineering ITB held under MTI ITB, featuring two competitions: Industrial Engineering Competition (IECOM) and National Industrial Competition for Entrepreneur (NICE). Participants can compete in problem-solving industrial cases or develop innovative business ventures focused on the circular economy. The event offers prizes totaling USD 2,500 and Rp 18,000,000.",MTI ITB,2026-11-19 17:00:00,2026-11-22 16:59:59,http://iecom2026.com
